id,code,title,categoryId,roomGroup,roomSection,roomName,typeGroup,typeSection,baselineSpec,baselineBudgetExVat,quantity,unit,decisionStage,priority,description,architectNote,status,selectedName,selectedSource,selectedSourceUrl,selectedCostExVat,selectedNotes,createdAt,updatedAt
kitchen-cabinetry-and-worktops,KITCHEN-CABINETRY-AND-WORKTOPS,Kitchen cabinetry and worktops,kitchen_utility,Kitchen / dining / living,Kitchen,Kitchen / dining / living,Kitchen & utility,Kitchen joinery,Controlled kitchen cabinetry and worktop package aligned with the current allowance.,24000.00,,,now,medium,Main kitchen fit-out allowance.,,open,,,,,,2026-04-04 17:52:27.320695+00,2026-04-04 17:52:27.320695+00
kitchen-appliances,KITCHEN-APPLIANCES,Kitchen appliances,kitchen_utility,Kitchen / dining / living,Kitchen,Kitchen / dining / living,Kitchen & utility,Appliances,Controlled appliance package aligned with the current appliance allowance.,15000.00,,,now,medium,Keep appliance inflation visible rather than hidden across multiple suppliers.,,open,,,,,,2026-04-04 17:52:27.320695+00,2026-04-04 17:52:27.320695+00
kitchen-sink-and-tap,KITCHEN-SINK-AND-TAP,Kitchen sink and tap,kitchen_utility,Kitchen / dining / living,Kitchen,Kitchen / dining / living,Kitchen & utility,Sinks & taps,Good-quality undermount sink and single mixer tap within the control budget.,1500.00,,,now,medium,"This carries the working allowance for the kitchen sink zone, not the splashback or boiling tap uplift.",,open,,,,,,2026-04-04 17:52:27.320695+00,2026-04-04 17:52:27.320695+00
kitchen-island-layout,KITCHEN-ISLAND-LAYOUT,Kitchen island layout,kitchen_utility,Kitchen / dining / living,Kitchen,Kitchen / dining / living,Kitchen & utility,Kitchen planning,Single island within the existing kitchen budget and room layout.,0.00,,,now,medium,"Planning item only. Island size has structural, lighting, and circulation consequences.","Freeze the island before power, lighting, and slider furniture layouts are finalized.",open,,,,,,2026-04-04 17:52:27.320695+00,2026-04-04 17:52:27.320695+00
kitchen-splashback,KITCHEN-SPLASHBACK,Kitchen splashback,kitchen_utility,Kitchen / dining / living,Kitchen,Kitchen / dining / living,Kitchen & utility,Kitchen finishes,Simple durable splashback material within the controlled kitchen allowance.,0.00,,,later,medium,Planning item only unless a premium stone or specialist finish is chosen.,,open,,,,,,2026-04-04 17:52:27.320695+00,2026-04-04 17:52:27.320695+00
office-floor-finish,OFFICE-FLOOR-FINISH,Floor finish,finishes,Office,Finishes,Office,"Floors, walls & decorating",Study floors,Engineered oak floor within the control budget.,1400.00,,,now,medium,Keep the office durable and consistent with the bedroom-quality oak finish level.,,open,,,,,,2026-04-04 17:52:27.320695+00,2026-04-04 17:52:27.320695+00
office-wall-finish,OFFICE-WALL-FINISH,Wall finish,finishes,Office,Finishes,Office,"Floors, walls & decorating",Study walls,Paint-grade wall finish with no specialist treatment assumed.,0.00,,,later,medium,Planning item only.,,open,,,,,,2026-04-04 17:52:27.320695+00,2026-04-04 17:52:27.320695+00
office-desk-and-storage-joinery,OFFICE-DESK-AND-STORAGE-JOINERY,Desk and storage joinery,joinery,Office,Joinery & storage,Office,"Joinery, doors & stairs",Study joinery,Loose furniture only unless a built-in desk is deliberately chosen.,0.00,,,now,medium,No bespoke office joinery is assumed in the baseline build budget.,,open,,,,,,2026-04-04 17:52:27.320695+00,2026-04-04 17:52:27.320695+00
office-power-layout,OFFICE-POWER-LAYOUT,Power and data layout,mech_elec,Office,Electrical & lighting,Office,"Electrical, lighting & data",Study power & data,Allow 6 twin sockets and 2 data points within the main electrical budget.,0.00,,,now,medium,Planning item only.,,open,,,,,,2026-04-04 17:52:27.320695+00,2026-04-04 17:52:27.320695+00
office-lighting-layout,OFFICE-LIGHTING-LAYOUT,Lighting layout,mech_elec,Office,Electrical & lighting,Office,"Electrical, lighting & data",Study lighting,Allow approximately 4 to 5 lighting points including 4 recessed ceiling spotlights and desk-task support within the main electrical budget.,0.00,,,now,medium,Planning item only.,,open,,,,,,2026-04-04 17:52:27.320695+00,2026-04-04 19:27:07.728251+00
utility-floor-finish,UTILITY-FLOOR-FINISH,Floor finish,finishes,Utility room,Finishes,Utility room,"Floors, walls & decorating",Utility floors,Durable serviceable hard floor within the control budget.,1500.00,,,now,medium,Use a practical floor that can deal with moisture and cleaning.,,open,,,,,,2026-04-04 17:52:27.320695+00,2026-04-04 17:52:27.320695+00
utility-wall-finish,UTILITY-WALL-FINISH,Wall finish,finishes,Utility room,Finishes,Utility room,"Floors, walls & decorating",Utility walls,Paint-grade or washable utility finish with no specialist material assumed.,0.00,,,later,medium,Planning item only.,,open,,,,,,2026-04-04 17:52:27.320695+00,2026-04-04 17:52:27.320695+00
utility-cabinetry-and-worktop,UTILITY-CABINETRY-AND-WORKTOP,Utility cabinetry and worktop,kitchen_utility,Utility room,Utility,Utility room,Kitchen & utility,Utility joinery,Controlled utility cabinetry and worktop package.,1500.00,,,now,medium,Keep utility fit-out serviceable and tidy without turning it into a second bespoke kitchen.,,open,,,,,,2026-04-04 17:52:27.320695+00,2026-04-04 17:52:27.320695+00
utility-sink-and-tap,UTILITY-SINK-AND-TAP,Utility sink and tap,kitchen_utility,Utility room,Utility,Utility room,Kitchen & utility,Sinks & taps,Basic utility sink and mixer tap within the control budget.,500.00,,,now,medium,Small but explicit utility sink allowance so the room can be specified cleanly.,,open,,,,,,2026-04-04 17:52:27.320695+00,2026-04-04 17:52:27.320695+00
utility-wall-units-and-shelving,UTILITY_WALL_UNITS_AND_SHELVING,Utility wall units and shelving,kitchen_utility,Utility room,Utility,Utility room,Kitchen & utility,Utility joinery,Any modest wall units or shelving are assumed within the controlled utility cabinetry allowance rather than as a separate budget uplift.,0.00,,,now,medium,Planning item only. Use it to pin down whether the utility stays basic or becomes more fitted.,,open,,,,,,2026-04-04 19:41:00.235721+00,2026-04-04 19:41:00.235721+00
utility-washing-machine,UTILITY_WASHING_MACHINE,Washing machine,kitchen_utility,Utility room,Utility,Utility room,Kitchen & utility,Utility appliances,No supply-only washing machine allowance is currently carried in the construction budget.,800.00,,,later,medium,Owner-supplied appliance placeholder so the utility room scope can still be decided here.,,open,,,,,,2026-04-04 19:41:00.235721+00,2026-04-04 20:42:17.518372+00
utility-tumble-dryer,UTILITY_TUMBLE_DRYER,Tumble dryer,kitchen_utility,Utility room,Utility,Utility room,Kitchen & utility,Utility appliances,No supply-only tumble dryer allowance is currently carried in the construction budget.,800.00,,,later,medium,"Owner-supplied appliance placeholder so ventilation, condensate, and stacking decisions are still tracked.",,open,,,,,,2026-04-04 19:41:00.235721+00,2026-04-04 20:42:31.221463+00
dec-item-wall-mounted-drying-rack-ea99b765,WALL_MOUNTED_DRYING_RACK_99B765,Wall mounted drying rack,prelims,Utility room,Utility,Utility room,Utility,Utility,Wall mounted opposite to avoid drying clothes horses.,80.00,,,now,medium,,,open,,,,,,2026-04-04 20:46:08.293951+00,2026-04-04 20:47:04.447414+00
utility-appliance-layout,UTILITY-APPLIANCE-LAYOUT,"Washer, dryer, and services layout",mech_elec,Utility room,Electrical & plumbing,Utility room,"Heating, plumbing & ventilation",Utility plumbing,Controlled washer / dryer layout within the main utility plumbing and electrical budget.,0.00,,,now,medium,Planning item only.,,open,,,,,,2026-04-04 17:52:27.320695+00,2026-04-04 17:52:27.320695+00
utility-power-and-lighting,UTILITY-POWER-AND-LIGHTING,Power and lighting layout,mech_elec,Utility room,Electrical & plumbing,Utility room,"Electrical, lighting & data",Utility power & lighting,"Allow 4 twin sockets, dedicated appliance feeds, and 3 lighting points within the main electrical budget.",0.00,,,now,medium,Planning item only.,,open,,,,,,2026-04-04 17:52:27.320695+00,2026-04-04 17:52:27.320695+00
circulation-floor-finish,CIRCULATION-FLOOR-FINISH,Hall and stair circulation floor finish,finishes,Hallways / circulation,Finishes,Hallways / circulation,"Floors, walls & decorating",Circulation floors,Engineered oak or continuous controlled floor finish to circulation spaces.,1500.00,,,now,medium,Hold the circulation finish consistently so it does not get lost between room budgets.,,open,,,,,,2026-04-04 17:52:27.320695+00,2026-04-04 17:52:27.320695+00
circulation-wall-finish,CIRCULATION-WALL-FINISH,Hall and stair wall finish,finishes,Hallways / circulation,Finishes,Hallways / circulation,"Floors, walls & decorating",Circulation walls,Paint-grade wall finish to circulation spaces.,0.00,,,later,medium,Planning item only.,,open,,,,,,2026-04-04 17:52:27.320695+00,2026-04-04 17:52:27.320695+00
understairs-or-circulation-storage,UNDERSTAIRS-OR-CIRCULATION-STORAGE,Circulation storage,joinery,Hallways / circulation,Joinery & storage,Hallways / circulation,"Joinery, doors & stairs",Circulation storage,No major bespoke storage beyond practical basic joinery unless deliberately added.,0.00,,,now,medium,Keep this explicit because hallway and stair storage is often omitted from early drawings.,,open,,,,,,2026-04-04 17:52:27.320695+00,2026-04-04 17:52:27.320695+00
circulation-lighting,CIRCULATION-LIGHTING,Circulation lighting layout,mech_elec,Hallways / circulation,Electrical & lighting,Hallways / circulation,"Electrical, lighting & data",Circulation lighting,Allow 6 to 8 lighting points across hall and stair circulation within the main electrical budget.,0.00,,,now,medium,Planning item only.,,open,,,,,,2026-04-04 17:52:27.320695+00,2026-04-04 17:52:27.320695+00
circulation-power,CIRCULATION-POWER,Circulation power layout,mech_elec,Hallways / circulation,Electrical & lighting,Hallways / circulation,"Electrical, lighting & data",Circulation power,Allow 2 twin sockets and smoke detection within the main electrical budget.,0.00,,,now,medium,Planning item only.,,open,,,,,,2026-04-04 17:52:27.320695+00,2026-04-04 17:52:27.320695+00
principal-power-and-data,PRINCIPAL-POWER-AND-DATA,Power and data layout,mech_elec,Master bedroom,Electrical & lighting,Master bedroom,"Electrical, lighting & data",Bedroom power & data,Allow 8 twin sockets and 2 data points within the main electrical budget.,0.00,,,now,medium,Planning item only.,,open,,,,,,2026-04-04 17:52:27.320695+00,2026-04-04 17:52:27.320695+00
principal-lighting-layout,PRINCIPAL-LIGHTING-LAYOUT,Lighting layout,mech_elec,Master bedroom,Electrical & lighting,Master bedroom,"Electrical, lighting & data",Bedroom lighting,"Allow 6 to 8 lighting points, including 2 recessed ceiling spotlights, bedside control, and wardrobe lighting provision, within the main electrical budget.",0.00,,,now,medium,Planning item only.,,open,,,,,,2026-04-04 17:52:27.320695+00,2026-04-04 19:27:07.728251+00
principal-bedroom-floor-finish,PRINCIPAL-BEDROOM-FLOOR-FINISH,Bedroom floor finish,finishes,Master bedroom,Bedroom,Master bedroom,"Floors, walls & decorating",Principal bedroom floors,Engineered oak floor within the principal bedroom allowance.,2500.00,,,now,medium,One of the bedroom finish upgrades that may justify slightly better quality than the guest rooms.,,open,,,,,,2026-04-04 17:52:27.320695+00,2026-04-04 17:52:27.320695+00
principal-bedroom-wall-finish,PRINCIPAL-BEDROOM-WALL-FINISH,Bedroom wall finish,finishes,Master bedroom,Bedroom,Master bedroom,"Floors, walls & decorating",Principal bedroom walls,Paint-grade principal bedroom wall finish with no specialist finish assumed.,0.00,,,later,medium,Planning item only.,,open,,,,,,2026-04-04 17:52:27.320695+00,2026-04-04 17:52:27.320695+00
principal-wardrobes,PRINCIPAL-WARDROBES,Wardrobes and dressing storage,joinery,Master bedroom,Bedroom,Master bedroom,"Joinery, doors & stairs",Bedroom wardrobes,Controlled fitted wardrobe allowance for the principal suite.,5000.00,,,now,medium,This is the main wardrobe spend in the house; keep it focused here rather than over-joining all bedrooms.,,open,,,,,,2026-04-04 17:52:27.320695+00,2026-04-04 17:52:27.320695+00
principal-bedside-joinery,PRINCIPAL-BEDSIDE-JOINERY,Bedside joinery and headboard integration,joinery,Master bedroom,Bedroom,Master bedroom,"Joinery, doors & stairs",Bedroom joinery,No bespoke bedside joinery assumed unless deliberately added.,0.00,,,now,medium,Planning item only.,,open,,,,,,2026-04-04 17:52:27.320695+00,2026-04-04 17:52:27.320695+00
principal-suite-tiling-and-walls,PRINCIPAL-SUITE-TILING-AND-WALLS,Tiling and wet-area wall finish,bathrooms,His ensuite,Finishes,His ensuite,"Floors, walls & decorating",Bathroom finishes,Porcelain tile finish to wet areas with paint-grade non-wet walls unless upgraded.,5000.00,,,now,medium,Use this allowance to control tile format and extent. It should not quietly turn into full-height premium stone everywhere.,,open,,,,,,2026-04-04 17:52:27.320695+00,2026-04-04 19:48:36.945831+00
principal-suite-wc,PRINCIPAL-SUITE-WC,WC,bathrooms,His ensuite,Fixtures & fittings,His ensuite,Bathrooms & sanitaryware,Sanitaryware,Good-quality WC within the control budget.,1000.00,,,now,medium,Carry a realistic mid-range WC allowance rather than a premium designer product.,,open,,,,,,2026-04-04 17:52:27.320695+00,2026-04-04 19:48:36.945831+00
principal-suite-basin,PRINCIPAL-SUITE-BASIN,Basin and vanity,bathrooms,His ensuite,Fixtures & fittings,His ensuite,Bathrooms & sanitaryware,Sanitaryware,Basin or compact vanity within the control budget.,1800.00,,,now,medium,Use this to hold the basin and any integrated vanity component together.,,open,,,,,,2026-04-04 17:52:27.320695+00,2026-04-04 19:48:36.945831+00
principal-suite-tapware,PRINCIPAL-SUITE-TAPWARE,Tapware and brassware,bathrooms,His ensuite,Fixtures & fittings,His ensuite,Bathrooms & sanitaryware,Tapware,Controlled mid-range basin tap / small brassware allowance.,700.00,,,now,medium,"Keep finish and brand discipline here, because brassware escalation is one of the easiest budget leaks in the project.",,open,,,,,,2026-04-04 17:52:27.320695+00,2026-04-04 19:48:36.945831+00
principal-suite-shower,PRINCIPAL-SUITE-SHOWER,Shower set,bathrooms,His ensuite,Fixtures & fittings,His ensuite,Bathrooms & sanitaryware,Shower fittings,Concealed thermostatic shower set within the control budget.,2500.00,,,now,medium,"Includes valve, head, and handset allowance at a sensible quality level.",,open,,,,,,2026-04-04 17:52:27.320695+00,2026-04-04 19:48:36.945831+00
principal-suite-mirror-and-storage,PRINCIPAL-SUITE-MIRROR-AND-STORAGE,Mirror and storage,bathrooms,His ensuite,Fixtures & fittings,His ensuite,Bathrooms & sanitaryware,Mirrors & storage,Mirror or mirrored storage cabinet within the control budget.,700.00,,,later,medium,Use this to control whether the room stays simple or becomes more furniture-led.,,open,,,,,,2026-04-04 17:52:27.320695+00,2026-04-04 19:48:36.945831+00
principal-suite-accessories,PRINCIPAL-SUITE-ACCESSORIES,Accessories and towel rail,bathrooms,His ensuite,Accessories,His ensuite,Bathrooms & sanitaryware,Accessories & rails,"Controlled accessories package including robe hook, paper holder, and small fittings.",1000.00,,,later,medium,These small items add up. Keep them visible in the budget instead of allowing them to arrive as late extras.,,open,,,,,,2026-04-04 17:52:27.320695+00,2026-04-04 19:48:36.945831+00
principal-suite-electrical-ventilation,PRINCIPAL-SUITE-ELECTRICAL-VENTILATION,"Electrical, extract, and lighting layout",mech_elec,His ensuite,Electrical & ventilation,His ensuite,"Electrical, lighting & data",Bathroom lighting & ventilation,"Allow mirror feed, extract, towel rail connection, and approximately 3 lighting points within the main electrical budget.",0.00,,,now,medium,Planning item only. Cost is already carried inside the main electrical and ventilation packages.,"Coordinate mirror positions, shaver points, extract, and any niche lighting before first-fix.",open,,,,,,2026-04-04 17:52:27.320695+00,2026-04-04 19:48:36.945831+00
family-bathroom-tiling-and-walls,FAMILY-BATHROOM-TILING-AND-WALLS,Tiling and wet-area wall finish,bathrooms,Her ensuite,Finishes,Her ensuite,"Floors, walls & decorating",Bathroom finishes,Porcelain tile finish to wet areas with paint-grade non-wet walls unless upgraded.,4500.00,,,now,medium,Use this allowance to control tile format and extent. It should not quietly turn into full-height premium stone everywhere.,,open,,,,,,2026-04-04 17:52:27.320695+00,2026-04-04 17:52:27.320695+00
family-bathroom-wc,FAMILY-BATHROOM-WC,WC,bathrooms,Her ensuite,Fixtures & fittings,Her ensuite,Bathrooms & sanitaryware,Sanitaryware,Good-quality WC within the control budget.,900.00,,,now,medium,Carry a realistic mid-range WC allowance rather than a premium designer product.,,open,,,,,,2026-04-04 17:52:27.320695+00,2026-04-04 17:52:27.320695+00
family-bathroom-basin,FAMILY-BATHROOM-BASIN,Basin and vanity,bathrooms,Her ensuite,Fixtures & fittings,Her ensuite,Bathrooms & sanitaryware,Sanitaryware,Basin or compact vanity within the control budget.,1200.00,,,now,medium,Use this to hold the basin and any integrated vanity component together.,,open,,,,,,2026-04-04 17:52:27.320695+00,2026-04-04 17:52:27.320695+00
family-bathroom-tapware,FAMILY-BATHROOM-TAPWARE,Tapware and brassware,bathrooms,Her ensuite,Fixtures & fittings,Her ensuite,Bathrooms & sanitaryware,Tapware,Controlled mid-range basin tap / small brassware allowance.,500.00,,,now,medium,"Keep finish and brand discipline here, because brassware escalation is one of the easiest budget leaks in the project.",,open,,,,,,2026-04-04 17:52:27.320695+00,2026-04-04 17:52:27.320695+00
family-bathroom-bath,FAMILY-BATHROOM-BATH,Free standing bath,bathrooms,Her ensuite,Fixtures & fittings,Her ensuite,Bathrooms & sanitaryware,Baths,Straightforward free standing bath.,1600.00,,,now,medium,"This is a controlled bath allowance, not a statement freestanding stone bath budget.",,open,,,,,,2026-04-04 17:52:27.320695+00,2026-04-04 20:32:28.02316+00
family-bathroom-mirror-and-storage,FAMILY-BATHROOM-MIRROR-AND-STORAGE,Mirror and storage,bathrooms,Her ensuite,Fixtures & fittings,Her ensuite,Bathrooms & sanitaryware,Mirrors & storage,Mirror or mirrored storage cabinet within the control budget.,500.00,,,later,medium,Use this to control whether the room stays simple or becomes more furniture-led.,,open,,,,,,2026-04-04 17:52:27.320695+00,2026-04-04 17:52:27.320695+00
family-bathroom-accessories,FAMILY-BATHROOM-ACCESSORIES,Accessories and towel rail,bathrooms,Her ensuite,Accessories,Her ensuite,Bathrooms & sanitaryware,Accessories & rails,"Controlled accessories package including robe hook, paper holder, and small fittings.",500.00,,,later,medium,These small items add up. Keep them visible in the budget instead of allowing them to arrive as late extras.,,open,,,,,,2026-04-04 17:52:27.320695+00,2026-04-04 20:21:51.037785+00
family-bathroom-electrical-ventilation,FAMILY-BATHROOM-ELECTRICAL-VENTILATION,"Electrical, extract, and lighting layout",mech_elec,Her ensuite,Electrical & ventilation,Her ensuite,"Electrical, lighting & data",Bathroom lighting & ventilation,"Allow mirror feed, extract, towel rail connection, and approximately 2 lighting points within the main electrical budget.",0.00,,,now,medium,Planning item only. Cost is already carried inside the main electrical and ventilation packages.,"Coordinate mirror positions, shaver points, extract, and any niche lighting before first-fix.",open,,,,,,2026-04-04 17:52:27.320695+00,2026-04-04 17:52:27.320695+00
guest-bedroom-1-floor-finish,GUEST-BEDROOM-1-FLOOR-FINISH,Floor finish,finishes,Guest bedroom 1,Finishes,Guest bedroom 1,"Floors, walls & decorating",Bedroom floors,Engineered oak floor within the control budget allowance.,1200.00,,,now,medium,Carry a restrained oak floor allowance rather than premium bespoke timber.,,open,,,,,,2026-04-04 17:52:27.320695+00,2026-04-04 17:52:27.320695+00
guest-bedroom-1-wall-finish,GUEST-BEDROOM-1-WALL-FINISH,Wall finish,finishes,Guest bedroom 1,Finishes,Guest bedroom 1,"Floors, walls & decorating",Bedroom walls,Paint-grade plaster finish with no specialist decorative treatment.,0.00,,,later,medium,Budget is held only if this room is expected to carry upgraded decorative treatment.,,open,,,,,,2026-04-04 17:52:27.320695+00,2026-04-04 17:52:27.320695+00
guest-bedroom-1-wardrobes,GUEST-BEDROOM-1-WARDROBES,Wardrobes and storage,joinery,Guest bedroom 1,Joinery & storage,Guest bedroom 1,"Joinery, doors & stairs",Bedroom wardrobes,Controlled fitted wardrobe allowance.,2500.00,,,now,medium,Use this to decide whether the room gets built-in storage or stays loose furnished.,,open,,,,,,2026-04-04 17:52:27.320695+00,2026-04-04 17:52:27.320695+00
guest-bedroom-1-power-layout,GUEST-BEDROOM-1-POWER-LAYOUT,Power layout and socket count,mech_elec,Guest bedroom 1,Electrical & lighting,Guest bedroom 1,"Electrical, lighting & data",Bedroom power & data,Allow 4 twin sockets and 1 data point within the main electrical budget.,0.00,,,now,medium,Planning item only. Cost is already included in the main electrical package.,Lock bed position and desk / TV assumptions before first-fix electrical drawings are issued.,open,,,,,,2026-04-04 17:52:27.320695+00,2026-04-04 17:52:27.320695+00
guest-bedroom-1-lighting-layout,GUEST-BEDROOM-1-LIGHTING-LAYOUT,Lighting layout,mech_elec,Guest bedroom 1,Electrical & lighting,Guest bedroom 1,"Electrical, lighting & data",Bedroom lighting,"Allow approximately 4 lighting points including 2 recessed ceiling spotlights, a main decorative fitting or bedside feature lights, and secondary lighting positions within the main electrical budget.",0.00,,,now,medium,"Planning item only. Use it to coordinate the 2 recessed ceiling spotlights, bedside switching, wall lights, and any wardrobe lighting.",,open,,,,,,2026-04-04 17:52:27.320695+00,2026-04-04 19:27:07.728251+00
guest-shower-room-tiling-and-walls,GUEST-SHOWER-ROOM-TILING-AND-WALLS,Tiling and wet-area wall finish,bathrooms,Guest bedroom 1 ensuite,Finishes,Guest bedroom 1 ensuite,"Floors, walls & decorating",Bathroom finishes,Porcelain tile finish to wet areas with paint-grade non-wet walls unless upgraded.,4000.00,,,now,medium,Use this allowance to control tile format and extent. It should not quietly turn into full-height premium stone everywhere.,,open,,,,,,2026-04-04 17:52:27.320695+00,2026-04-04 17:52:27.320695+00
guest-shower-room-wc,GUEST-SHOWER-ROOM-WC,WC,bathrooms,Guest bedroom 1 ensuite,Fixtures & fittings,Guest bedroom 1 ensuite,Bathrooms & sanitaryware,Sanitaryware,Good-quality WC within the control budget.,900.00,,,now,medium,Carry a realistic mid-range WC allowance rather than a premium designer product.,,open,,,,,,2026-04-04 17:52:27.320695+00,2026-04-04 17:52:27.320695+00
guest-shower-room-basin,GUEST-SHOWER-ROOM-BASIN,Basin and vanity,bathrooms,Guest bedroom 1 ensuite,Fixtures & fittings,Guest bedroom 1 ensuite,Bathrooms & sanitaryware,Sanitaryware,Basin or compact vanity within the control budget.,1200.00,,,now,medium,Use this to hold the basin and any integrated vanity component together.,,open,,,,,,2026-04-04 17:52:27.320695+00,2026-04-04 17:52:27.320695+00
guest-shower-room-tapware,GUEST-SHOWER-ROOM-TAPWARE,Tapware and brassware,bathrooms,Guest bedroom 1 ensuite,Fixtures & fittings,Guest bedroom 1 ensuite,Bathrooms & sanitaryware,Tapware,Controlled mid-range basin tap / small brassware allowance.,500.00,,,now,medium,"Keep finish and brand discipline here, because brassware escalation is one of the easiest budget leaks in the project.",,open,,,,,,2026-04-04 17:52:27.320695+00,2026-04-04 17:52:27.320695+00
guest-shower-room-shower,GUEST-SHOWER-ROOM-SHOWER,Shower set,bathrooms,Guest bedroom 1 ensuite,Fixtures & fittings,Guest bedroom 1 ensuite,Bathrooms & sanitaryware,Shower fittings,Concealed thermostatic shower set within the control budget.,2200.00,,,now,medium,"Includes valve, head, and handset allowance at a sensible quality level.",,open,,,,,,2026-04-04 17:52:27.320695+00,2026-04-04 17:52:27.320695+00
guest-shower-room-mirror-and-storage,GUEST-SHOWER-ROOM-MIRROR-AND-STORAGE,Mirror and storage,bathrooms,Guest bedroom 1 ensuite,Fixtures & fittings,Guest bedroom 1 ensuite,Bathrooms & sanitaryware,Mirrors & storage,Mirror or mirrored storage cabinet within the control budget.,500.00,,,later,medium,Use this to control whether the room stays simple or becomes more furniture-led.,,open,,,,,,2026-04-04 17:52:27.320695+00,2026-04-04 17:52:27.320695+00
guest-shower-room-accessories,GUEST-SHOWER-ROOM-ACCESSORIES,Accessories and towel rail,bathrooms,Guest bedroom 1 ensuite,Accessories,Guest bedroom 1 ensuite,Bathrooms & sanitaryware,Accessories & rails,"Controlled accessories package including robe hook, paper holder, and small fittings.",700.00,,,later,medium,These small items add up. Keep them visible in the budget instead of allowing them to arrive as late extras.,,open,,,,,,2026-04-04 17:52:27.320695+00,2026-04-04 17:52:27.320695+00
guest-shower-room-electrical-ventilation,GUEST-SHOWER-ROOM-ELECTRICAL-VENTILATION,"Electrical, extract, and lighting layout",mech_elec,Guest bedroom 1 ensuite,Electrical & ventilation,Guest bedroom 1 ensuite,"Electrical, lighting & data",Bathroom lighting & ventilation,"Allow mirror feed, extract, towel rail connection, and approximately 2 lighting points within the main electrical budget.",0.00,,,now,medium,Planning item only. Cost is already carried inside the main electrical and ventilation packages.,"Coordinate mirror positions, shaver points, extract, and any niche lighting before first-fix.",open,,,,,,2026-04-04 17:52:27.320695+00,2026-04-04 17:52:27.320695+00
guest-bedroom-2-floor-finish,GUEST-BEDROOM-2-FLOOR-FINISH,Floor finish,finishes,Guest bedroom 2,Finishes,Guest bedroom 2,"Floors, walls & decorating",Bedroom floors,Engineered oak floor within the control budget allowance.,1300.00,,,now,medium,Carry a restrained oak floor allowance rather than premium bespoke timber.,,open,,,,,,2026-04-04 17:52:27.320695+00,2026-04-04 17:52:27.320695+00
guest-bedroom-2-wall-finish,GUEST-BEDROOM-2-WALL-FINISH,Wall finish,finishes,Guest bedroom 2,Finishes,Guest bedroom 2,"Floors, walls & decorating",Bedroom walls,Paint-grade plaster finish with no specialist decorative treatment.,0.00,,,later,medium,Budget is held only if this room is expected to carry upgraded decorative treatment.,,open,,,,,,2026-04-04 17:52:27.320695+00,2026-04-04 17:52:27.320695+00
guest-bedroom-2-wardrobes,GUEST-BEDROOM-2-WARDROBES,Wardrobes and storage,joinery,Guest bedroom 2,Joinery & storage,Guest bedroom 2,"Joinery, doors & stairs",Bedroom wardrobes,Controlled fitted wardrobe allowance.,2500.00,,,now,medium,Use this to decide whether the room gets built-in storage or stays loose furnished.,,open,,,,,,2026-04-04 17:52:27.320695+00,2026-04-04 17:52:27.320695+00
guest-bedroom-2-power-layout,GUEST-BEDROOM-2-POWER-LAYOUT,Power layout and socket count,mech_elec,Guest bedroom 2,Electrical & lighting,Guest bedroom 2,"Electrical, lighting & data",Bedroom power & data,Allow 4 twin sockets and 1 data point within the main electrical budget.,0.00,,,now,medium,Planning item only. Cost is already included in the main electrical package.,Lock bed position and desk / TV assumptions before first-fix electrical drawings are issued.,open,,,,,,2026-04-04 17:52:27.320695+00,2026-04-04 17:52:27.320695+00
guest-bedroom-2-lighting-layout,GUEST-BEDROOM-2-LIGHTING-LAYOUT,Lighting layout,mech_elec,Guest bedroom 2,Electrical & lighting,Guest bedroom 2,"Electrical, lighting & data",Bedroom lighting,"Allow approximately 4 lighting points including 2 recessed ceiling spotlights, a main decorative fitting or bedside feature lights, and secondary lighting positions within the main electrical budget.",0.00,,,now,medium,"Planning item only. Use it to coordinate the 2 recessed ceiling spotlights, bedside switching, wall lights, and any wardrobe lighting.",,open,,,,,,2026-04-04 17:52:27.320695+00,2026-04-04 19:27:07.728251+00
guest-bedroom-2-ensuite-tiling-and-walls,GUEST-BEDROOM-2-ENSUITE-TILING-AND-WALLS,Tiling and wet-area wall finish,bathrooms,Guest bedroom 2 ensuite,Finishes,Guest bedroom 2 ensuite,"Floors, walls & decorating",Bathroom finishes,Porcelain tile finish to wet areas with paint-grade non-wet walls unless upgraded.,4000.00,,,now,medium,Use this allowance to control tile format and extent. It should not quietly turn into full-height premium stone everywhere.,,open,,,,,,2026-04-04 19:48:36.945831+00,2026-04-04 19:48:36.945831+00
guest-bedroom-2-ensuite-wc,GUEST-BEDROOM-2-ENSUITE-WC,WC,bathrooms,Guest bedroom 2 ensuite,Fixtures & fittings,Guest bedroom 2 ensuite,Bathrooms & sanitaryware,Sanitaryware,Good-quality WC within the control budget.,900.00,,,now,medium,Carry a realistic mid-range WC allowance rather than a premium designer product.,,open,,,,,,2026-04-04 19:48:36.945831+00,2026-04-04 19:48:36.945831+00
guest-bedroom-2-ensuite-basin,GUEST-BEDROOM-2-ENSUITE-BASIN,Basin and vanity,bathrooms,Guest bedroom 2 ensuite,Fixtures & fittings,Guest bedroom 2 ensuite,Bathrooms & sanitaryware,Sanitaryware,Basin or compact vanity within the control budget.,1200.00,,,now,medium,Use this to hold the basin and any integrated vanity component together.,,open,,,,,,2026-04-04 19:48:36.945831+00,2026-04-04 19:48:36.945831+00
